Tempo:7605521; Processos:2; Repeticoes:1000; Tamanho:1000000 ; Resultado:1000000.000000
Tempo:7614032; Processos:2; Repeticoes:1000; Tamanho:1000000 ; Resultado:1000000.000000
Tempo:7583997; Processos:2; Repeticoes:1000; Tamanho:1000000 ; Resultado:1000000.000000
Tempo:15182309; Processos:2; Repeticoes:2000; Tamanho:1000000 ; Resultado:1000000.000000
Tempo:15217721; Processos:2; Repeticoes:2000; Tamanho:1000000 ; Resultado:1000000.000000
Tempo:15217948; Processos:2; Repeticoes:2000; Tamanho:1000000 ; Resultado:1000000.000000
Tempo:15176713; Processos:2; Repeticoes:2000; Tamanho:1000000 ; Resultado:1000000.000000
Tempo:15212283; Processos:2; Repeticoes:2000; Tamanho:1000000 ; Resultado:1000000.000000
Tempo:15215833; Processos:2; Repeticoes:2000; Tamanho:1000000 ; Resultado:1000000.000000
Tempo:15208813; Processos:2; Repeticoes:2000; Tamanho:1000000 ; Resultado:1000000.000000
Tempo:15240554; Processos:2; Repeticoes:2000; Tamanho:1000000 ; Resultado:1000000.000000
Tempo:15188602; Processos:2; Repeticoes:2000; Tamanho:1000000 ; Resultado:1000000.000000
Tempo:15157571; Processos:2; Repeticoes:2000; Tamanho:1000000 ; Resultado:1000000.000000
Tempo:22723441; Processos:2; Repeticoes:3000; Tamanho:1000000 ; Resultado:1000000.000000
